age,income,loan_amount,loan_term,credit_score,employment_type,marital_status,property_area,existing_loans,loan_purpose,fraud
28,24556,676778,60,564,Salaried,Single,Semiurban,4,Home,1
23,25811,296493,60,569,Salaried,Single,Semiurban,5,Personal,1
49,172472,683408,36,838,Business,Married,Urban,1,Business,0
42,44793,294502,120,499,Salaried,Married,Semiurban,0,Vehicle,0
45,38656,1257713,84,771,Self-employed,Married,Semiurban,5,Home,1
35,93861,267335,60,501,Salaried,Married,Semiurban,2,Business,0
34,87986,1459028,36,761,Self-employed,Single,Urban,3,Education,0
56,75570,780070,36,567,Business,Married,Urban,0,Business,0
57,100490,545910,240,705,Salaried,Married,Urban,1,Business,0
55,86876,1325965,120,748,Salaried,Single,Rural,1,Personal,0
24,46743,420531,240,531,Business,Married,Semiurban,3,Vehicle,0
37,163024,124077,240,819,Salaried,Married,Semiurban,2,Home,0
31,136940,106805,240,818,Salaried,Single,Semiurban,0,Education,0
53,177637,517146,60,641,Business,Single,Semiurban,3,Home,0
44,98612,602167,36,573,Business,Single,Urban,3,Home,0
29,51657,1483597,120,731,Salaried,Married,Rural,4,Business,0
44,132845,1185435,120,511,Salaried,Single,Urban,4,Personal,1
35,19885,248883,240,773,Salaried,Single,Rural,2,Home,0
38,145248,549287,180,517,Self-employed,Married,Urban,3,Vehicle,1
27,130997,843015,120,660,Salaried,Single,Semiurban,5,Home,0
42,46644,621470,60,547,Salaried,Single,Urban,2,Vehicle,0
25,134164,1254115,36,475,Self-employed,Single,Rural,1,Business,0
51,74032,941042,36,534,Salaried,Married,Urban,3,Education,1
56,145577,424632,60,601,Salaried,Single,Semiurban,4,Home,0
58,142987,1154553,180,530,Salaried,Single,Rural,0,Personal,0
36,123847,351420,180,576,Self-employed,Single,Semiurban,3,Personal,0
37,71545,758891,60,585,Salaried,Married,Urban,0,Home,0
57,44209,253638,180,559,Salaried,Single,Rural,0,Business,0
31,132867,1239210,240,604,Self-employed,Single,Semiurban,4,Education,0
29,87328,342071,36,830,Self-employed,Married,Urban,1,Education,0
37,150489,1124525,84,476,Salaried,Married,Rural,0,Home,0
29,86670,438861,240,676,Self-employed,Married,Semiurban,0,Home,0
30,161023,175556,84,748,Self-employed,Married,Urban,2,Education,0
23,111797,540562,240,577,Self-employed,Married,Semiurban,3,Personal,0
36,60598,471305,120,462,Salaried,Married,Semiurban,3,Business,1
27,118281,181211,120,563,Salaried,Married,Urban,1,Business,1
33,122455,788415,84,485,Unemployed,Married,Urban,4,Vehicle,1
55,104808,157882,36,583,Salaried,Married,Urban,4,Vehicle,1
41,132398,1371312,180,509,Salaried,Single,Urban,5,Vehicle,1
55,69651,863827,120,485,Unemployed,Married,Semiurban,5,Home,1
40,150939,748616,240,659,Salaried,Married,Semiurban,1,Vehicle,0
45,63620,1390828,180,604,Salaried,Single,Urban,1,Vehicle,0
41,139893,1026492,120,795,Salaried,Married,Semiurban,5,Business,0
39,153122,1492202,240,767,Salaried,Single,Semiurban,1,Business,0
23,82184,1096433,180,843,Salaried,Married,Rural,4,Business,0
45,147598,938132,60,525,Self-employed,Single,Rural,0,Vehicle,0
54,139778,205315,180,577,Unemployed,Single,Urban,3,Personal,0
49,178603,1158596,120,730,Salaried,Single,Semiurban,3,Vehicle,0
36,90695,1193244,120,770,Salaried,Married,Urban,2,Business,0
41,159597,268983,60,527,Salaried,Single,Semiurban,0,Vehicle,0
55,140139,971941,36,555,Business,Married,Rural,4,Home,0
45,143037,112364,84,602,Business,Married,Semiurban,5,Personal,0
52,75520,672386,120,698,Salaried,Married,Semiurban,3,Business,0
29,158017,156552,120,753,Self-employed,Single,Urban,3,Business,0
32,31181,645587,120,617,Salaried,Married,Urban,3,Education,1
47,84131,271769,120,459,Self-employed,Single,Rural,2,Business,0
23,26134,618590,60,460,Self-employed,Single,Urban,5,Home,1
34,139905,637381,84,535,Self-employed,Single,Semiurban,1,Education,0
22,99777,1307533,240,642,Salaried,Single,Urban,5,Business,0
40,175394,353870,180,850,Salaried,Married,Semiurban,0,Personal,0
21,128115,1128027,36,671,Unemployed,Married,Semiurban,3,Business,0
38,179457,1228630,120,688,Salaried,Married,Urban,1,Home,0
49,81927,1074564,180,762,Self-employed,Married,Urban,2,Business,0
43,85725,813742,84,755,Self-employed,Married,Semiurban,4,Business,0
47,146077,1264288,60,803,Salaried,Married,Urban,0,Home,0
46,81780,742160,240,747,Salaried,Married,Urban,5,Personal,0
50,89019,743035,84,568,Salaried,Single,Urban,5,Personal,0
33,74723,1115438,84,820,Self-employed,Married,Rural,1,Education,0
32,97237,129671,240,723,Salaried,Single,Rural,4,Education,0
29,146680,315141,36,743,Salaried,Married,Urban,1,Home,0
51,47907,237035,120,701,Salaried,Single,Urban,4,Education,0
36,49051,1270363,120,760,Self-employed,Single,Semiurban,3,Vehicle,0
58,130415,740428,180,767,Salaried,Single,Rural,1,Business,0
26,59171,603033,60,732,Salaried,Single,Urban,5,Personal,0
23,78680,704199,240,594,Self-employed,Married,Urban,1,Education,0
58,69857,991581,36,728,Salaried,Single,Rural,1,Home,0
40,173987,1293713,84,674,Salaried,Married,Semiurban,2,Personal,0
49,39087,1354173,36,671,Self-employed,Married,Urban,1,Personal,0
22,88650,1308477,36,840,Business,Married,Semiurban,3,Education,0
58,132264,1431240,120,496,Salaried,Married,Urban,5,Home,0
52,93554,1489538,120,839,Self-employed,Married,Urban,2,Education,0
46,152898,102413,240,727,Salaried,Single,Urban,2,Personal,0
49,31529,526892,84,731,Salaried,Married,Urban,5,Vehicle,1
59,80730,432143,84,732,Salaried,Married,Urban,0,Vehicle,0
30,148646,712078,180,811,Salaried,Married,Rural,1,Vehicle,0
45,67967,1356985,180,832,Business,Single,Urban,3,Education,0
21,92144,726116,180,746,Unemployed,Married,Rural,3,Personal,0
55,116883,1054926,84,546,Unemployed,Single,Semiurban,1,Vehicle,1
51,117937,909665,240,783,Unemployed,Married,Rural,1,Personal,0
42,44309,1023389,36,719,Unemployed,Single,Semiurban,3,Business,1
37,106751,1407069,240,653,Self-employed,Married,Rural,4,Vehicle,0
52,159824,175285,180,485,Salaried,Married,Rural,5,Home,1
27,44347,1030461,60,805,Salaried,Single,Urban,0,Education,0
48,56160,612119,180,660,Self-employed,Single,Urban,0,Personal,0
60,81132,1143683,180,523,Salaried,Married,Urban,5,Home,0
39,161287,431298,36,676,Unemployed,Married,Semiurban,3,Education,0
45,144670,323668,60,645,Self-employed,Married,Rural,2,Home,0
46,89953,116982,180,801,Business,Single,Rural,5,Vehicle,0
39,78324,1373107,84,562,Self-employed,Married,Semiurban,5,Business,1
23,98984,1024473,36,746,Salaried,Single,Urban,2,Education,0
32,70637,377159,180,637,Salaried,Married,Rural,2,Vehicle,0
39,106792,341528,120,488,Salaried,Single,Rural,5,Vehicle,0
44,41672,927482,36,585,Salaried,Married,Urban,5,Education,1
44,46402,590360,120,462,Self-employed,Married,Rural,1,Home,0
50,97217,1461553,120,509,Salaried,Single,Urban,3,Home,1
55,53563,915049,120,639,Self-employed,Married,Semiurban,5,Business,0
52,179389,955881,84,466,Self-employed,Single,Urban,1,Education,0
44,160728,1452299,84,481,Salaried,Single,Rural,3,Home,0
59,23598,206070,84,574,Unemployed,Single,Urban,4,Business,1
35,104129,409443,180,451,Salaried,Single,Rural,4,Education,0
22,52551,131164,84,571,Self-employed,Single,Urban,0,Business,0
54,47792,233290,120,679,Business,Single,Urban,1,Personal,0
54,97070,1060584,240,465,Salaried,Married,Rural,3,Home,0
25,39178,775517,180,525,Salaried,Married,Semiurban,4,Personal,1
45,174602,1212658,84,682,Salaried,Married,Urban,5,Home,0
56,74367,1001922,120,566,Salaried,Married,Urban,5,Home,1
41,84817,884966,60,801,Unemployed,Single,Urban,0,Home,0
44,52108,1266794,36,750,Unemployed,Married,Semiurban,3,Education,0
